,business_id,name,address,city,state,type,statut,date_statut,latitude,longitude,x,y
57,1099,ANGLICAN CHURCH OF MONTREAL,99   Rue Bernard Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19931117,45.526209,-73.603195,296739.02,5042926.5
413,1461,CENTRE ESPOIR NOUVEAU,6225   Avenue Godfrey ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930209,45.467756,-73.62694,294873.95,5036433.2
1617,14456,MIDNIGHT KITCHEN,3480  304 Rue McTavish ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20110912,45.503192,-73.576817,298797.05,5040366.31
3656,8950,LA CAFETERIA COMMUNAUTAIRE MULTI CAF,3825   Boulevard Cavendish ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20181129,45.464262,-73.630191,294619.1,5036045.39
3657,14613,L'EGLISE UNIEDUCANADA SAINT COLUMBAN HOUSE,2365   Rue Grand Trunk ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930413,45.478811,-73.565273,299697,5037656.01
4121,14774,EGLISE CATHOLIQUE SAINT-CHARLES,2115   Rue Centre ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930307,45.48129,-73.564722,299740.27,5037931.44
4284,13637,CENTRE BOOTH DE L'ARMEE DU SALUT,880   Rue Guy ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930430,45.492505,-73.572229,299154.55,5039178.31
4328,12988,BONNE BOUFFE SANS FRONTIERE,1850  0 Rue Bercy ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20091102,45.533442,-73.547918,301057.38,5043726.17
4455,6439,MISSION BON ACCUEIL,4755   Rue Acorn ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040112,45.473337,-73.590706,297707.96,5037049.62
5158,19511,CENTRE STE-CROIX #344,85   Rue Jarry Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191216,45.536008,-73.633019,294411.15,5044018.86
5528,7439,COMPTOIR ALIMENTAIRE DE L'EGLISE BAPTISTE EVANGELIQUE DE ROSEMONT,3245   Boulevard Saint-Joseph Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040910,45.549482,-73.568357,299462.53,5045509.94
6220,4001,LA MAISONNETTE DES PARENTS,6651   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20030130,45.531627,-73.611609,296082.62,5043529.43
6359,2049,L'OASIS DE ST-LAURENT,1895   Rue Église ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20020124,45.506885,-73.684396,290391.17,5040790.33
6393,8413,LA PATATE DU PEUPLE (PEOPLE'S POTATO CONCORDIA),1455  H700 Boulevard De Maisonneuve Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20090305,45.497336,-73.578176,298690.25,5039715.62
7295,2009,SERVICE MYRIAM DE LA MISERICORDE INC.,215   Rue De Castelnau Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20060503,45.537354,-73.618367,295555.73,5044166.7
8737,267,INFORMATION ALIMENTAIRE POP. CENTRE SUD,1710  1-14 Rue Beaudry ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20140903,45.520406,-73.559293,300167.91,5042278.05
8841,6941,CUISINE COLLECTIVE A TOUTE VAPEUR (DIST),13765   Rue Forsyth ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191029,45.665702,-73.503992,304488.91,5058423.5
9442,554,LES MISSIONNAIRES DE LA CHARITE INC.,2467   Rue Champagne ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930128,45.5295,-73.54709,301121.81,5043288.13
9928,7181,LUNCH CLUB#51/NATIVE FRIENDSHIP CENTRE,2001   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040511,45.511325,-73.566909,299572.13,5041269.4
10264,5789,ACTION REINSERTION,110   Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20031010,45.511117,-73.562731,299898.51,5041246.04
10301,62351,POPOTE ROULANTE DU VIEUX MOULIN (CENTRE CULTUREL HENRI-LEMIEUX),7644   Rue Édouard ,LaSalle,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930517,45.430952,-73.594462,297408.75,5032339.76
10481,6887,SERVICE DE NUTRITION ET D'ACTION COMMUNAUTAIRE (SNAC),10780   Rue Laverdure ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040413,45.552632,-73.671892,291379.09,5045872.05
10522,11516,CENTRE DE DESINTOXICATION TOXICO-STOP,4858   Boulevard Gouin Est,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20100531,45.605687,-73.63882,293971.53,5051763.16
12288,17014,ACCUEIL BONNEAU,427   Rue Commune Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930607,45.509849,-73.550664,300841.27,5041104.46
12492,13960,CENTRE D'ORIENTATION ET PREVENTION D'ALCOOLISME TOXICOMANIELATINOS AMERICAINS,660   Rue Villeray ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19990407,45.543491,-73.62165,295300.32,5044849.02
12822,13617,CENTRE DE JOUR OMEGA,600   Avenue Église ,Dorval,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19981022,45.442497,-73.735453,286380.58,5033645.35
12875,139,RESEAU BENEVOLE DE VERDUN,3215   Boulevard LaSalle ,Verdun,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20040810,45.471362,-73.568878,299414.42,5036828.4
13124,15632,MISSION DU GRAND BERGER,2510   Rue Centre ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20001122,45.479017,-73.568451,299448.58,5037679.06
13127,14722,ACTION SECOURS VIE D'ESPOIR,35   Avenue Marien ,Montréal-Est,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19991110,45.63271,-73.497426,305000.67,5054756.95
13204,66898,BOUFFE ACTION DE ROSEMONT,5350   Rue Lafond ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20080917,45.552591,-73.571677,299203.68,5045855.59
13602,10649,MISSION ST-MICHEL,137   Avenue Président-Kennedy ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19970217,45.509854,-73.567487,299526.78,5041105.98
14209,3429,SERVICE INTERPRETE AIDE REFERENCE AUX IMMIGRANTS (SIARI),6767  499 Chemin Côte-des-Neiges ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20091008,45.503028,-73.637026,294091.94,5040354.3
14411,15376,CENTRE DES FEMMES DE MONTREAL,3585   Rue Saint-Urbain ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20000831,45.51246,-73.573136,299085.66,5041395.93
14481,9019,SERVICE D'AIDE COMMUNAUTAIRE ANJOU (SAC ANJOU),6497   Avenue Azilda ,Anjou,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20181023,45.609669,-73.545795,301228.07,5052197.35
15193,7563,MAISON DES JEUNES BORDEAUX CARTIERVILLE,12120   Rue Grenet ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20060303,45.530603,-73.717627,287801.62,5043432.58
15265,1718,SESAME INC. (CUISINE COLLECTIVE),8628   Rue Hochelaga ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20150204,45.60057,-73.520379,303210.2,5051185.4
17230,4673,LA PORTE JAUNE,3625   Rue Aylmer ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20090202,45.508639,-73.578014,298704.11,5040971.63
17847,10251,MAISON DE QUARTIER VILLERAY,660   Rue Villeray ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19960925,45.543491,-73.62165,295300.32,5044849.02
18526,9094,L'ORG. DES JEUNES DE PARC EXTENSION INC. (PEYO),419  SS-06 Rue Saint-Roch ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19951214,45.531247,-73.628424,294769.17,5043489.13
18660,9465,CARREFOUR D'ENTRAIDE LACHINE,1180   Rue Provost ,Lachine,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19960508,45.441964,-73.674645,291137.47,5033574
19080,8806,MAISON NAZARETH,1197   Avenue Seymour ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19950929,45.490269,-73.580411,298514.79,5038930.42
19328,100469,CARREFOUR SAINT-EUSEBE DE MONTREAL (POPOTTE ROULANTE),2349   Rue Rouen ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20111101,45.532633,-73.558111,300261.23,5043636.84
19521,100627,FOURCHETTE DE L'ESPOIR,12165   Boulevard Rolland ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20111021,45.617245,-73.621473,295326.57,5053045.46
21096,103023,DINERS ST-LOUIS,1818   Rue Gilford ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20120207,45.534585,-73.577972,298710.21,5043855.06
21714,102943,AFRIQUE AU FEMININ,7000  106-107 Avenue Parc ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20120216,45.52969,-73.61984,295439.43,5043315.07
22331,103972,ON ROCK COMMUNITY SERVICE,9554   Boulevard Gouin Ouest,Pierrefonds,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20120716,45.5041,-73.779982,282920.9,5040502.47
22536,103471,LA FONDATION DU REFUGE POUR FEMMES CHEZ DORIS INC.,1430   Rue Chomedey ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20120530,45.491391,-73.583401,298281.16,5039055.27
22592,104445,CORPORATION CULTURELLE LATINO-AMERICAINE AMITIE COCLA,1357   Rue Saint-Louis ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20181116,45.509381,-73.671067,291433.27,5041065.36
22855,13251,CANTINE DES OEUVRES ST JACQUES,430 A  Rue Sainte-Catherine Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19980818,45.514557,-73.55976,300130.92,5041628.12
23512,105885,CAFETERIA MOISSON MONTREAL,6880   Chemin Côte-de-Liesse ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20130409,45.481827,-73.696503,289438.31,5038007.92
26102,103248,DISTRIBUTION PAVILLON HEBERT,7505   Boulevard Provencher ,St-Léonard,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20121018,45.571841,-73.592666,297567.34,5047996.64
26184,105425,MAISON DES AMIS PLATEAU MONT-ROYAL,1370   Boulevard Saint-Joseph Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20130411,45.533058,-73.58144,298439.14,5043685.64
26619,4556,ACTION CENTRE-VILLE MONTREAL,105   Rue Ontario Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20030502,45.512317,-73.566423,299610.19,5041379.65
27564,7732,TOUJOURS ENSEMBLE,4926   Rue Verdun ,Verdun,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19950306,45.456595,-73.571915,299175.53,5035187.59
27863,111499,ASSOCIATION ALERTE PROVIDENCE,5420   Rue Angevins ,St-Léonard,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20150917,45.580566,-73.582105,298392.61,5048965.37
28517,402,POPOTE ROULANTE CARREFOUR DES RETRAITES DE MTL-NORD INC.,11323   Avenue Jean-Meunier ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930121,45.604503,-73.622621,295234.92,5051629.53
28925,100618,SANTROPOL ROULANT,111   Rue Roy Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20110303,45.516367,-73.575067,298935.21,5041830.26
29130,7214,ENTRAIDE LEO THEORET (PRESBYTERE),2000 B  Rue Alexandre-DeSève ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19941219,45.524377,-73.560567,300068.73,5042719.43
30403,114002,PARTAGEONS L'ESPOIR (QUEBEC),625   Rue Fortune ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20170317,45.47794,-73.559184,300172.92,5037558.87
30546,114026,MISSION LATINO-AMERICAINE NOTRE-DAME DE GUADALUPE,2020   Rue Bordeaux ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190530,45.527546,-73.558021,300267.85,5043071.51
31289,111314,SERVICE DES LOISIRS ST-JACQUES DE MONTREAL,200   Rue Ontario Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190909,45.513611,-73.565999,299643.44,5041523.37
31595,112192,COVIQ,1830   Rue Duff Court ,Lachine,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190709,45.445984,-73.680486,290681.53,5034021.68
31606,112230,C.A.D.R.E. (ECHANGES DE SERVICES DE LASALLE),7491   Rue Cordner ,LaSalle,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190604,45.443359,-73.627458,294829.17,5033722
32326,117077,DEPOT ALIMENTAIRE NDG,6450   Avenue Somerled ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20180323,45.468411,-73.6378,294024.87,5036507.41
32556,14864,CUISINE COLLECTIVE HOCHELAGA-MAISONNEUVE,3568   Rue Adam ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20000114,45.543767,-73.540985,301599.46,5044873.3
33074,8728,LES PETITS FRERES DES PAUVRES,4624   Rue Garnier ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20220516,45.531682,-73.578293,298684.83,5043532.49
33253,115605,CENTRE ACTION,2214   Rue Dollard ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20170524,45.43154,-73.63639,,
34339,116286,CENTRE COMMUNAUTAIRE TYNDALE ST-GEORGES,870   Place Richmond ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20170825,45.491441,-73.573113,299085.32,5039060.04
34441,468,MAISON D'ENTRAIDE ST-PAUL ET EMARD,5999   Rue Drake ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20101027,45.457739,-73.582179,298372.86,5035315.47
35178,114428,MAISON DE L'ANCRE,7930   Boulevard Pie-IX ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20161101,45.570642,-73.600955,296920.23,5047864.14
35366,116899,CENTRE DE JOUR DE ST-JAMES,1442   Rue Panet ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20171207,45.520279,-73.555569,300458.79,5042263.75
36109,117105,LE RAMEAU D'OLIVIER,6547   Rue Marseille ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20181017,45.580764,-73.539717,301700.57,5048984.79
36415,120651,AIDES COMMUNITY CARE MONTREAL (ACCM),3650   Avenue Calixa-Lavallée ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191023,45.525362,-73.56656,299600.63,5042829.3
36597,3293,CARREFOUR D'ALIMENTATION ET DE PARTAGE ST-BARNABE,1475   Avenue Bennett ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19930127,45.553563,-73.533975,302147.34,5045961.77
36622,120839,ASSOCIATION BENEVOLE AMITIE,2021  855 Avenue Union ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191122,45.504701,-73.57116,299239.32,5040533.57
36665,12510,ASSOCIATION D'ENTRAIDE LE CHAINON,4373   Avenue Esplanade ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19900601,45.517562,-73.586174,298067.54,5041963.97
36666,120023,UNION UNITED CHURCH,3007   Rue Delisle ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191126,45.482326,-73.578899,298632.07,5038047.59
36667,120025,STATION FAMILLES,2385   Rue Jolicoeur ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190806,45.456927,-73.595328,297344.38,5035226.33
36668,120026,SPECTRE DE RUE,1280   Rue Ontario Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190619,45.521927,-73.561897,299964.63,5042447.25
36716,120835,ASSOCIATION DU TROISIEME AGE FILIA,821   Avenue Ogilvy ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200117,45.526775,-73.62661,294910.05,5042992.02
36763,120929,CENTRE D'AIDE A LA FAMILLE,1225  303 Boulevard Saint-Joseph Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200619,45.531217,-73.583352,298289.62,5043481.16
36892,121232,CARREFOUR ALIMENTAIRE CENTRE-SUD / CUISINE DES TOURS FRONTENAC,1855   Rue Havre ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200228,45.53254,-73.549708,300917.58,5043626.03
36901,121012,SANTE ET MIEUX-ETRE DES HOMMES GAIS ET BISEXUELS (REZO),2075  207 Rue Plessis ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191209,45.524154,-73.562128,299946.76,5042694.82
36903,121014,MISSION CATHOLIQUE SAINTE-THERESE D'AVILA,1420   Rue Bélanger ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191211,45.544274,-73.605428,296567.22,5044934.31
36907,121019,LA SOURCE MILIEU EDUCATIF,75   Rue Square-Sir-George-Étienne-Cartier ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200909,45.472564,-73.583717,298254.3,5036963.15
36909,121021,PIAMP PROJECT INTERVENTION,435   Rue Beaubien Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191210,45.534682,-73.604398,296646.3,5043868.19
36910,121022,DISPENSAIRE DIETETIQUE DE MONTREAL,2182   Avenue Lincoln ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200708,45.491614,-73.585643,298105.98,5039080.24
36911,121023,PROJET LOVE (QUEBEC),400  300 Rue Saint-Jacques ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191210,45.501984,-73.55983,300124.45,5040230.93
36912,121024,PROJETS AUTOCHTONES DU QUEBEC,169   Rue De La Gauchetière Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200727,45.509854,-73.558702,300213.2,5041105.38
36913,121025,RAP JEUNESSE,10780   Rue Laverdure ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200825,45.552632,-73.671892,291379.09,5045872.05
36914,121027,RELAIS COTE-DES-NEIGES,6600   Avenue Victoria ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200804,45.496116,-73.641552,293736.93,5039586.79
36915,121029,LES YMCA DU QUEBEC (SIEGE SOCIAL),1435   Rue Drummond ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191210,45.498971,-73.574968,298941.12,5039897.04
36917,121031,CENTRE DE PEDIATRIE SOCIALE DE MONTREAL-NORD,6336  1 Avenue Chartrand ,Montréal-Nord,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20210611,45.623392,-73.625143,295041.44,5053729.03
36918,121032,CENTRE DE PEDIATRIE SOCIALE DE ST-LAURENT - AU COEUR DE L'ENFANCE,1159   Avenue Sainte-Croix ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200709,45.51752,-73.681968,290583.55,5041971.72
36919,121034,CORBEILLE BORDEAUX-CARTIERVILLE,5090   Rue Dudemaine ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200120,45.528043,-73.701371,289070.63,5043144.87
36962,107047,LE PAS DE LA RUE,1575   Boulevard René-Lévesque Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20131016,45.520455,-73.550811,300830.55,5042283.14
37020,121009,OEUVRE SOUPE MAISON (LACHINE),1170   Rue Notre-Dame ,Lachine,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200930,45.43494,-73.674251,291166.55,5032793.36
37026,121051,CENTRE MULTICULTUREL L'AMOUR,16312   Boulevard Gouin Ouest,Ste-Geneviève,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201021,45.477444,-73.873905,275567.58,5037569.98
37027,121053,CHABAD CHAI CENTER,5120  170 Avenue Courtrai ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200810,45.494924,-73.647828,293246.16,5039455.2
37028,121054,CHAPELLE BONNE NOUVELLE,5845   Boulevard Couture ,St-Léonard,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191216,45.597465,-73.608174,296360.77,5050845.8
37029,121056,ECOLE FELIX-ANTOINE,10730   Rue Chambord ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200206,45.561849,-73.664948,291923.4,5046895.26
37030,121057,ECOLE PIERRE-DUPUY,2000   Rue Parthenais ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191216,45.529519,-73.556265,300405.19,5043290.69
37031,121058,ECOLE SECONDAIRE SAINT-LAURENT (EDIFICE EMILE-LEGAULT),2395   Boulevard Thimens ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201211,45.505834,-73.701998,289015.46,5040676.83
37038,121071,REPIT PROVIDENCE,1855   Rue Dézéry ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20201027,45.540976,-73.547196,301114.3,5044563.4
37045,121097,RENAISSANCE MONTREAL,7250   Boulevard Saint-Laurent ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200724,45.535021,-73.619138,295495.14,5043907.46
37104,119980,EGLISE ADVENTISTE MONT SINAI,9570   Boulevard Maurice-Duplessis ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200129,45.649925,-73.562982,299891.04,5056672.08
37107,119991,AUTISME MONTREAL,4450   Rue Saint-Hubert ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190918,45.525511,-73.580955,298476.17,5042846.91
37108,119994,AUBERGE DU COEUR LE TOURNANT (SOSFA),1775   Rue Wolfe ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190709,45.519812,-73.560777,300051.89,5042212.21
37129,120052,CENTRE ALEXANDRE-DE-SEVE (RUELLE DE L'AVENIR),2040   Rue Alexandre-DeSève ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191121,45.524926,-73.561751,299976.27,5042780.54
37139,120081,CORPORATION FELIX-HUBERT D'HERELLE,3742   Rue Saint-Hubert ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191015,45.520681,-73.570315,299306.9,5042309.39
37141,120090,LA MAISON BENOIT LABRE,4561   Rue Notre-Dame Ouest,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200115,45.473792,-73.587812,297934.31,5037099.89
37192,119985,CARREFOUR JEUNESSE-EMPLOI DE MARQUETTE,735   Rue Notre-Dame ,Lachine,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190806,45.4349,-73.670313,291474.69,5032788.18
37264,120102,GROUPE ENTRAIDE INTENTION PERSONNES SEULES ITINERENTES (GEIPSI),1223   Rue Ontario Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20190924,45.521489,-73.562155,299944.42,5042398.62
37291,10311,MAISON DU PARC INC.,1287   Rue Rachel Est,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,19961015,45.527402,-73.572504,299136.52,5043056.38
37528,119975,CENTRE ACTION BENEVOLE ET COMMUNAUTAIRE ST-LAURENT,910   Avenue Sainte-Croix ,St-Laurent,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191018,45.515088,-73.678127,290883.02,5041700.83
37530,119977,CENTRE COMMUNAUTAIRE LA PATIENCE,9227   Boulevard Saint-Michel ,Montréal,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20191126,45.573236,-73.63086,294586.49,5048155.78
37667,120092,LA BICOQUE - MAISON DES JEUNES DE LASALLE,170   Avenue Orchard ,LaSalle,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200213,45.423072,-73.647364,293267.79,5031470.29
37668,120093,LA MAISON DES JEUNES DE RIVIERE-DES-PRAIRIES,12550   Avenue 48e ,Rivière-des-Prairies,"Québec, Canada",Organisme d'aide alimentaire,Ouvert,20200128,45.652421,-73.577274,298777.33,5056950.43
